Season,Round,Date,Time,TeamHome,Result,TeamAway,Referee,Stadium,PlayersHome,RatingHome,PotentialHome,PlayersAway,RatingAway,PotentialAway
2015,12,22/11/2015,20:30 ,Betis,0-1,Atlético de Madrid,Jaime Latre,Benito Villamarín,"[['Adán', 'Piccini', 'Westermann', 'Bruno', 'Varela', ""N'Diaye"", 'Cejudo', 'Digard', 'Xavi Torres', 'Joaquín', 'Rubén Castro'], ['Dani Giménez', 'Jorge Molina', 'Dani Ceballos', 'Petros', 'Molinero', 'Jordi Figueras', 'Van der Vaart']]","[[77, 73, 76, 72, 71, 75, 74, 76, 75, 79, 79], [70, 75, 74, 71, 72, 73, 77]]","[[77, 80, 76, 76, 81, 79, 74, 76, 75, 79, 79], [70, 75, 87, 73, 72, 73, 77]]","[['Oblak', 'Jesús Gámez', 'Savić', 'Godín', 'Filipe Luís', 'Gabi', 'Koke', 'Tiago', 'Carrasco', 'Griezmann', 'Fernando Torres'], ['Saúl', 'Vietto', 'Óliver Torres', 'Moyá', 'Siqueira', 'Correa', 'Giménez']]","[[81, 79, 81, 85, 82, 80, 83, 81, 78, 84, 79], [76, 79, 79, 81, 78, 77, 79]]","[[86, 79, 85, 85, 82, 80, 87, 81, 84, 89, 79], [83, 86, 87, 81, 78, 88, 87]]"
2015,12,23/11/2015,20:30 ,Getafe,1-1,Rayo Vallecano,De Burgos Bengoetxea,Coliseum Alfonso Pérez,"[['Guaita', 'Vigaray', 'Cala', 'Velázquez', 'Roberto Lago', 'Juan Rodríguez', 'Sarabia', 'Lacen', 'Lafita', 'Víctor', 'Álvaro Vázquez'], ['Moi Gómez', 'Šćepović', 'Yoda', 'Megyeri', 'Vergini', 'Wanderson', 'Emi Buendía']]","[[77, 69, 73, 74, 74, 74, 77, 76, 74, 76, 75], [76, 71, 72, 71, 73, 67, 69]]","[[77, 78, 75, 81, 74, 74, 82, 76, 74, 78, 81], [83, 73, 73, 75, 74, 77, 82]]","[['Juan Carlos', 'Tito', 'Llorente', 'Dorado', 'Nacho', 'Jozabed', 'Trashorras', 'Baena', 'Bebé', 'Embarba', 'Javi Guerra'], ['Pablo Hernández', 'Amaya', 'Ebert', 'Yoel', 'Miku', 'Quini', 'Lass']]","[[70, 77, 70, 75, 75, 72, 80, 78, 72, 73, 74], [76, 76, 75, 72, 73, 70, 77]]","[[70, 77, 78, 75, 76, 77, 80, 80, 75, 81, 74], [76, 76, 75, 73, 73, 72, 80]]"
2015,13,27/11/2015,20:30 ,Levante,0-1,Betis,Sánchez Martínez,Ciutat de Valencia,"[['Rubén', 'Pedro López', 'Feddal', 'David Navarro', 'Toño', 'Rubén García', 'Verza', 'Camarasa', 'Simão Junior', 'Deyverson', 'Morales'], ['Ghilas', 'Víctor Casadesús', 'Roger', 'Mariño', 'Lerma', 'Juanfran', 'Xumetra']]","[[74, 72, 75, 75, 75, 74, 75, 75, 75, 76, 77], [75, 75, 71, 73, 72, 73, 71]]","[[74, 72, 76, 75, 77, 81, 75, 83, 76, 82, 77], [79, 75, 75, 77, 81, 73, 71]]","[['Adán', 'Piccini', 'Westermann', 'Bruno', 'Varela', ""N'Diaye"", 'Cejudo', 'Dani Ceballos', 'Petros', 'Joaquín', 'Rubén Castro'], ['Molinero', 'Jordi Figueras', 'Van der Vaart', 'Dani Giménez', 'Xavi Torres', 'Jorge Molina', 'Portillo']]","[[77, 73, 76, 72, 71, 75, 74, 74, 71, 79, 79], [72, 73, 77, 70, 75, 75, 75]]","[[77, 80, 76, 76, 81, 79, 74, 87, 73, 79, 79], [72, 73, 77, 70, 75, 75, 76]]"
2015,13,28/11/2015,16:00 ,Barcelona,4-0,Real Sociedad,Iglesias Villanueva,Camp Nou,"[['Claudio Bravo', 'Dani Alves', 'Mathieu', 'Mascherano', 'Piqué', 'Iniesta', 'Busquets', 'Rakitić', 'Neymar', 'Messi', 'Luis Suárez'], ['Adriano', 'Bartra', 'Jordi Alba', 'Ter Stegen', 'Munir', 'Sandro', 'Vermaelen']]","[[83, 84, 82, 83, 85, 88, 86, 85, 90, 94, 90], [79, 80, 84, 82, 73, 72, 80]]","[[83, 84, 82, 83, 85, 88, 87, 86, 94, 94, 90], [79, 83, 86, 88, 85, 84, 80]]","[['Rulli', 'Elustondo', 'Iñigo Martínez', 'Mikel González', 'Yuri', 'Canales', 'Rubén Pardo', 'Xabi Prieto', 'Granero', 'Carlos Vela', 'Agirretxe'], ['Héctor Hernández', 'Bruma', 'Oyarzabal', 'Carlos Martínez', 'Diego Reyes', 'De la Bella', 'Bardají']]","[[79, 71, 80, 76, 71, 79, 77, 77, 77, 81, 77], [66, 76, 60, 78, 75, 78, 61]]","[[86, 79, 84, 76, 75, 83, 83, 77, 77, 83, 77], [72, 85, 75, 78, 83, 78, 67]]"
2015,13,28/11/2015,18:15 ,Atlético de Madrid,1-0,Espanyol,Bikandi Garrido,Vicente Calderón,"[['Oblak', 'Juanfran', 'Giménez', 'Godín', 'Filipe Luís', 'Saúl', 'Óliver Torres', 'Koke', 'Tiago', 'Vietto', 'Griezmann'], ['Carrasco', 'Fernando Torres', 'Thomas', 'Moyá', 'Savić', 'Correa', 'Jesús Gámez']]","[[82, 81, 79, 86, 82, 76, 79, 83, 81, 79, 84], [78, 79, 72, 81, 81, 77, 79]]","[[86, 81, 87, 86, 82, 83, 87, 87, 81, 86, 89], [84, 79, 79, 81, 85, 88, 79]]","[['Pau López', 'Álvaro', 'Javi López', 'Roco', 'Fuentes', 'Víctor Álvarez', 'Hernán Pérez', 'Diop', 'Abraham', 'Caicedo', 'Asensio'], ['Mamadou Sylla', 'Gerard Moreno', 'Cañas', 'Bardi', 'Duarte', 'Burgui', 'Jordán']]","[[70, 76, 76, 75, 71, 73, 74, 77, 73, 78, 75], [66, 75, 77, 74, 70, 70, 64]]","[[77, 78, 76, 82, 73, 79, 76, 77, 73, 79, 87], [75, 81, 77, 79, 80, 79, 71]]"
2015,13,28/11/2015,20:30 ,Málaga,2-2,Granada,Estrada Fernández,La Rosaleda,"[['Kameni', 'Rosales', 'Angeleri', 'Weligton', 'Miguel Torres', 'Duda', 'Recio', 'Tissone', 'Juankar', 'Amrabat', 'Charles'], ['Santa Cruz', 'Juanpi Añor', 'Pablo Fornals', 'Ochoa', 'Albentosa', 'Boka', 'Ontiveros']]","[[79, 75, 76, 78, 74, 73, 76, 75, 72, 58, 75], [74, 71, 71, 79, 74, 77, 65]]","[[79, 76, 76, 78, 74, 73, 80, 75, 76, 66, 75], [74, 81, 79, 79, 75, 77, 80]]","[['Andrés Fernández', 'Miguel Lopes', 'Babin', 'Lombán', 'Agbo', 'Javi Márquez', 'Fran Rico', 'Biraghi', 'Peñaranda', 'Success', 'Rober Ibáñez'], ['Foulquier', 'El-Arabi', 'Rochina', 'Kelava', 'Dória', 'Salva Ruiz', 'Nicolás López']]","[[77, 76, 74, 74, 63, 74, 75, 73, 69, 70, 73], [71, 75, 73, 71, 75, 67, 58]]","[[77, 76, 74, 74, 73, 74, 75, 79, 83, 82, 80], [77, 75, 79, 72, 81, 75, 64]]"
2015,13,28/11/2015,22:00 ,Las Palmas,0-2,Deportivo de La Coruña,Clos Gómez,Estadio de Gran Canaria,"[['Javi Varas', 'David Simón', 'Bigas', 'Aythami', 'Dani Castellano', 'Tana', 'Roque Mesa', 'Momo', 'Vicente Gómez', 'Jonathan Viera', 'Araujo'], ['Nauzet Alemán', 'Culio', 'Wakaso', 'Lizoain', 'David García', 'Asdrúbal', 'Valerón']]","[[75, 74, 72, 72, 69, 69, 73, 69, 68, 77, 76], [72, 72, 72, 68, 70, 68, 74]]","[[75, 76, 76, 72, 69, 73, 75, 69, 69, 79, 80], [72, 72, 75, 72, 70, 72, 74]]","[['Lux', 'Juanfran', 'Arribas', 'Sidnei', 'Luisinho', 'Fernando Navarro', 'Cani', 'Mosquera', 'Álex Bergantiños', 'Jonathan Rodríguez', 'Lucas Pérez'], ['Laure', 'Jonás Gutiérrez', 'Fajr', 'Fabricio', 'Oriol Riera', 'Fede Cartabia', 'Lopo']]","[[76, 74, 75, 77, 74, 75, 75, 76, 72, 74, 78], [74, 74, 75, 76, 73, 74, 60]]","[[76, 75, 77, 79, 74, 75, 75, 77, 72, 82, 79], [74, 74, 76, 76, 73, 81, 71]]"
2015,13,28/11/2015,22:05 ,Celta de Vigo,2-1,Sporting de Gijón,Jaime Latre,Balaidos,"[['Sergio Álvarez', 'Hugo Mallo', 'Cabral', 'Sergi Gómez', 'Planas', 'Augusto', 'Pablo Hernández', 'Orellana', 'Guidetti', 'Nolito', 'Bongonda'], ['Wass', 'Iago Aspas', 'Señé', 'Rubén Blanco', 'Dražić', 'Madinda', 'Alende']]","[[76, 78, 77, 73, 71, 79, 63, 80, 74, 82, 71], [77, 78, 69, 68, 70, 70, 62]]","[[76, 84, 77, 81, 76, 79, 70, 80, 80, 82, 84], [79, 78, 75, 79, 82, 78, 75]]","[['Cuéllar', 'Lora', 'Bernardo', 'Luis Hernández', 'Isma López', 'Dani Ndi', 'Jony', 'Mascarell', 'Nacho Cases', 'Halilović', 'Sanabria'], ['Carlos Castro', 'Juan Muñiz', 'Pablo Pérez', 'Alberto', 'Álex Menéndez', 'Rachid', 'Meré']]","[[76, 76, 76, 74, 73, 70, 76, 71, 73, 77, 75], [69, 68, 70, 70, 68, 66, 71]]","[[76, 76, 78, 76, 77, 79, 80, 78, 73, 91, 88], [77, 76, 77, 70, 74, 72, 83]]"
2015,13,29/11/2015,12:00 ,Getafe,2-0,Villarreal,González González,Coliseum Alfonso Pérez,"[['Guaita', 'Damián Suárez', 'Cala', 'Alexis', 'Roberto Lago', 'Juan Rodríguez', 'Sarabia', 'Lacen', 'Lafita', 'Šćepović', 'Álvaro Vázquez'], ['Víctor', 'Emi Buendía', 'Wanderson', 'Megyeri', 'Velázquez', 'Yoda', 'Mensah']]","[[77, 76, 73, 75, 74, 74, 77, 76, 74, 71, 75], [76, 69, 67, 71, 74, 72, 76]]","[[77, 77, 75, 75, 74, 74, 82, 76, 74, 73, 81], [78, 82, 77, 75, 81, 73, 84]]","[['Areola', 'Mario Gaspar', 'Eric Bailly', 'Víctor Ruiz', 'Adrián Marín', 'Manu Trigueros', 'Jonathan dos Santos', 'Pina', 'Nahuel', 'Samu Castillejo', 'Samu García'], ['Rukavina', 'Denis Suárez', 'Bakambu', 'Barbosa', 'Jokić', 'Bruno Soriano', 'Pedraza']]","[[78, 79, 77, 80, 70, 80, 79, 78, 73, 77, 77], [76, 78, 79, 75, 75, 81, 69]]","[[86, 83, 85, 81, 80, 85, 83, 78, 85, 85, 81], [76, 85, 84, 75, 75, 81, 78]]"
2015,13,29/11/2015,16:00 ,Eibar,0-2,Real Madrid,Gil Manzano,Estadio Municipal de Ipurua,"[['Riesgo', 'Capa', 'Mauro dos Santos', 'Pantić', 'Juncà', 'Adrián', 'Dani García', 'Inui', 'Escalante', 'Saúl Berjón', 'Sergi Enrich'], ['Arruabarrena', 'Hajrović', 'Verdi', 'Irureta', 'Ramis', 'Eddy Silvestre', 'Luna']]","[[71, 73, 72, 73, 70, 73, 74, 74, 71, 76, 71], [70, 74, 74, 75, 74, 69, 73]]","[[71, 78, 74, 77, 76, 74, 76, 75, 81, 76, 75], [70, 79, 80, 75, 74, 75, 78]]","[['Keylor Navas', 'Danilo', 'Carvajal', 'Nacho', 'Pepe', 'Modrić', 'Kovačić', 'James Rodríguez', 'Kroos', 'Bale', 'Cristiano Ronaldo'], ['Lucas Vázquez', 'Benzema', 'Casemiro', 'Casilla', 'Arbeloa', 'Cheryshev', 'Lazo']]","[[82, 81, 82, 75, 84, 87, 78, 87, 87, 87, 93], [77, 86, 77, 80, 78, 78, 63]]","[[82, 87, 85, 77, 84, 87, 86, 93, 89, 89, 93], [82, 86, 81, 80, 78, 82, 71]]"
2015,13,29/11/2015,18:15 ,Rayo Vallecano,0-3,Athletic Club,Hernández Hernández,Estadio de Vallecas,"[['Juan Carlos', 'Tito', 'Llorente', 'Amaya', 'Nacho', 'Jozabed', 'Trashorras', 'Baena', 'Pablo Hernández', 'Embarba', 'Javi Guerra'], ['Bebé', 'Lass', 'Manucho', 'Yoel', 'Quini', 'Zé Castro', 'Ebert']]","[[70, 77, 70, 76, 75, 72, 80, 78, 76, 73, 74], [72, 77, 76, 72, 70, 76, 75]]","[[70, 77, 78, 76, 76, 77, 80, 80, 76, 81, 74], [75, 80, 76, 73, 72, 76, 75]]","[['Iraizoz', 'De Marcos', 'Etxeita', 'Laporte', 'Balenziaga', 'Lekue', 'Raúl García', 'Iturraspe', 'Beñat', 'Williams', 'Aduriz'], ['Elustondo', 'San José', 'Bóveda', 'Herrerín', 'Kike Sola', 'Susaeta', 'Mikel Rico']]","[[79, 80, 77, 83, 79, 70, 81, 81, 80, 76, 82], [75, 80, 76, 74, 71, 78, 78]]","[[79, 82, 77, 87, 80, 78, 81, 83, 80, 84, 82], [75, 82, 77, 74, 71, 78, 78]]"
2015,13,29/11/2015,20:30 ,Sevilla,1-0,Valencia,Velasco Carballo,Estadio Ramón Sánchez-Pizjuán,"[['Sergio Rico', 'Mariano', 'Kolodzciejczak', 'Rami', 'Escudero', 'Konoplyanka', 'Banega', ""N'Zonzi"", 'Krychowiak', 'Vitolo', 'Llorente'], ['Krohn-Dehli', 'Reyes', 'Immobile', 'Iborra', 'Luismi', 'Coke', 'David Soria']]","[[76, 77, 60, 79, 73, 82, 81, 79, 82, 81, 80], [79, 79, 79, 81, 70, 80, 61]]","[[85, 77, 64, 79, 75, 84, 82, 80, 86, 83, 80], [79, 79, 82, 81, 77, 80, 68]]","[['Ryan', 'João Cancelo', 'Abdennour', 'Aderlan Santos', 'Gayà', 'Javi Fuego', 'Enzo Pérez', 'Danilo', 'Parejo', 'Santi Mina', 'Alcácer'], ['Bakkali', 'Feghouli', 'Rubén Vezo', 'Orbán', 'De Paul', 'Jaume', 'Rafa Mir']]","[[78, 75, 81, 80, 80, 80, 79, 77, 82, 75, 80], [76, 81, 76, 77, 77, 74, 59]]","[[83, 84, 83, 82, 87, 80, 79, 84, 84, 84, 88], [85, 83, 83, 79, 85, 78, 71]]"
2015,14,05/12/2015,16:00 ,Real Madrid,4-1,Getafe,Mateu Lahoz,Estadio Santiago Bernabeu,"[['Keylor Navas', 'Danilo', 'Nacho', 'Pepe', 'Modrić', 'Lucas Vázquez', 'James Rodríguez', 'Kroos', 'Bale', 'Benzema', 'Cristiano Ronaldo'], ['Arbeloa', 'Jesé', 'Kovačić', 'Casilla', 'Casemiro', 'Cheryshev', 'Marcos Llorente']]","[[82, 81, 75, 84, 87, 77, 87, 87, 87, 86, 93], [78, 78, 78, 80, 77, 78, 66]]","[[82, 87, 77, 84, 87, 82, 93, 89, 89, 86, 93], [78, 85, 86, 80, 81, 82, 78]]","[['Guaita', 'Damián Suárez', 'Cala', 'Alexis', 'Roberto Lago', 'Sarabia', 'Lacen', 'Lafita', 'Wanderson', 'Víctor', 'Álvaro Vázquez'], ['Šćepović', 'Mensah', 'Pedro León', 'Megyeri', 'Vergini', 'Yoda', 'Moi Gómez']]","[[77, 76, 73, 75, 74, 77, 76, 74, 67, 76, 75], [71, 76, 78, 71, 73, 72, 76]]","[[77, 77, 75, 75, 74, 82, 76, 74, 77, 78, 81], [73, 84, 78, 75, 74, 73, 83]]"
