Season,Round,TeamHome,Result,TeamAway,Stadium,Date,Time,Spectators,Referee,YellowCards,RedCards
2015,6,Eibar ,1 - 1 ,Celta de Vigo ,Ipurúa ,26 de septiembre ,22:00 ,,,,
2015,6,Sporting de Gijón ,1 - 2 ,Betis ,El Molinón ,27 de septiembre ,12:00 ,,,,
2015,6,Deportivo de La Coruña ,3 - 0 ,Espanyol ,Riazor ,27 de septiembre ,16:00 ,,,,
2015,6,Getafe ,3 - 0 ,Levante ,Alfonso Pérez ,27 de septiembre ,18:15 ,,,,
2015,6,Real Sociedad ,0 - 0 ,Athletic Club ,Anoeta ,27 de septiembre ,20:30 ,,,,
2015,7,Celta de Vigo ,0 - 0 ,Getafe ,Balaídos ,2 de octubre ,20:30 ,,,,
2015,7,Sevilla ,2 - 1 ,Barcelona ,Ramón Sánchez Pizjuán ,3 de octubre ,16:00 ,,,,
2015,7,Granada ,1 - 1 ,Deportivo de La Coruña ,Nuevo Los Cármenes ,3 de octubre ,18:15 ,,,,
2015,7,Espanyol ,1 - 2 ,Sporting de Gijón ,Cornellà-El Prat ,3 de octubre ,20:30 ,,,,
2015,7,Las Palmas ,0 - 2 ,Eibar ,Gran Canaria ,3 de octubre ,22:00 ,,,,
2015,7,Málaga ,3 - 1 ,Real Sociedad ,La Rosaleda ,3 de octubre ,22:05 ,,,,
2015,7,Rayo Vallecano ,0 - 2 ,Betis ,Campo de Fútbol de Vallecas ,4 de octubre ,12:00 ,,,,
2015,7,Athletic Club ,3 - 1 ,Valencia ,San Mamés ,4 de octubre ,16:00 ,,,,
2015,7,Levante ,1 - 0 ,Villarreal ,Ciutat de València ,4 de octubre ,18:15 ,,,,
2015,7,Atlético de Madrid ,1 - 1 ,Real Madrid ,Vicente Calderón ,4 de octubre ,20:30 ,,,,
2015,8,Real Madrid ,3 - 0 ,Levante ,Santiago Bernabéu ,17 de octubre ,16:00 ,,,,
2015,8,Eibar ,1 - 1 ,Sevilla ,Ipurúa ,17 de octubre ,18:15 ,,,,
2015,8,Barcelona ,5 - 2 ,Rayo Vallecano ,Camp Nou ,17 de octubre ,20:30 ,,,,
2015,8,Valencia ,3 - 0 ,Málaga ,Mestalla ,17 de octubre ,22:00 ,,,,
2015,8,Betis ,1 - 3 ,Espanyol ,Benito Villamarín ,17 de octubre ,22:05 ,,,,
2015,8,Villarreal ,1 - 2 ,Celta de Vigo ,El Madrigal ,18 de octubre ,12:00 ,,,,
2015,8,Real Sociedad ,0 - 2 ,Atlético de Madrid ,Anoeta ,18 de octubre ,16:00 ,,,,
2015,8,Getafe ,4 - 0 ,Las Palmas ,Alfonso Pérez ,18 de octubre ,18:15 ,,,,
2015,8,Deportivo de La Coruña ,2 - 2 ,Athletic Club ,Riazor ,18 de octubre ,20:30 ,,,,
2015,8,Sporting de Gijón ,3 - 3 ,Granada ,El Molinón ,19 de octubre ,20:30 ,,,,
2015,9,Rayo Vallecano ,3 - 0 ,Espanyol ,Campo de Fútbol de Vallecas ,23 de octubre ,20:30 ,,,,
2015,9,Celta de Vigo ,1 - 3 ,Real Madrid ,Balaídos ,24 de octubre ,16:00 ,,,,
2015,9,Granada ,1 - 1 ,Betis ,Nuevo Los Cármenes ,24 de octubre ,18:15 ,,,,
2015,9,Sevilla ,5 - 0 ,Getafe ,Ramón Sánchez Pizjuán ,24 de octubre ,20:30 ,,,,
2015,9,Málaga ,2 - 0 ,Deportivo de La Coruña ,La Rosaleda ,24 de octubre ,22:05 ,,,,
2015,9,Levante ,0 - 4 ,Real Sociedad ,Ciutat de València ,25 de octubre ,12:00 ,,,,
2015,9,Las Palmas ,0 - 0 ,Villarreal ,Gran Canaria ,25 de octubre ,16:00 ,,,,
2015,9,Barcelona ,3 - 1 ,Eibar ,Camp Nou ,25 de octubre ,18:15 ,,,,
2015,9,Atlético de Madrid ,2 - 1 ,Valencia ,Vicente Calderón ,25 de octubre ,20:30 ,,,,
2015,9,Athletic Club ,3 - 0 ,Sporting de Gijón ,San Mamés ,26 de octubre ,20:30 ,,,,
2015,10,Deportivo de La Coruña ,1 - 1 ,Atlético de Madrid ,Riazor ,30 de octubre ,20:30 ,,,,
2015,10,Real Madrid ,3 - 1 ,Las Palmas ,Santiago Bernabéu ,31 de octubre ,16:00 ,,,,
2015,10,Valencia ,3 - 0 ,Levante  ,Mestalla ,31 de octubre ,18:15 ,,,,
2015,10,Villarreal ,2 - 1 ,Sevilla ,El Madrigal ,31 de octubre ,18:15 ,,,,
2015,10,Getafe ,0 - 2 ,Barcelona ,Coliseum Alfonso Pérez ,31 de octubre ,20:30 ,,,,
2015,10,Real Sociedad ,2 - 3 ,Celta de Vigo ,Anoeta ,31 de octubre ,22:05 ,,,,
2015,10,Eibar ,1 - 0 ,Rayo Vallecano ,Ipurúa ,1 de noviembre ,12:00 ,,,,
2015,10,Espanyol ,1 - 1 ,Granada ,Cornellà-El Prat ,1 de noviembre ,16:00 ,,,,
2015,10,Sporting de Gijón ,1 - 0 ,Málaga ,El Molinón ,1 de noviembre ,18:15 ,,,,
2015,10,Betis ,1 - 3 ,Athletic Club ,Benito Villamarín ,1 de noviembre ,20:30 ,,,,
2015,11,Las Palmas ,2 - 0 ,Real Sociedad ,Gran Canaria ,6 de noviembre ,20:30 ,,,,
2015,11,Celta de Vigo ,1 - 5 ,Valencia ,Balaídos ,7 de noviembre ,16:00 ,,,,
2015,11,Levante ,1 - 1 ,Deportivo de La Coruña ,Ciutat de València ,7 de noviembre ,18:15 ,,,,
2015,11,Rayo Vallecano ,2 - 1 ,Granada ,Campo de Fútbol de Vallecas ,7 de noviembre ,20:30 ,,,,
2015,11,Eibar ,3 - 1 ,Getafe ,Ipurúa ,7 de noviembre ,20:30 ,,,,
2015,11,Málaga ,0 - 1 ,Betis ,La Rosaleda ,7 de noviembre ,22:05 ,,,,
2015,11,Athletic Club ,2 - 1 ,Espanyol ,San Mamés ,8 de noviembre ,12:00 ,,,,
2015,11,Barcelona ,3 - 0 ,Villarreal ,Camp Nou ,8 de noviembre ,16:00 ,,,,
2015,11,Atlético de Madrid ,1 - 0 ,Sporting de Gijón ,Vicente Calderón ,8 de noviembre ,18:15 ,,,,
2015,11,Sevilla ,3 - 2 ,Real Madrid ,Ramón Sánchez Pizjuán ,8 de noviembre ,20:30 ,,,,
2015,12,Real Sociedad ,2 - 0 ,Sevilla ,Anoeta ,21 de noviembre ,16:00 ,,,,
2015,12,Real Madrid ,0 - 4 ,Barcelona ,Santiago Bernabéu ,21 de noviembre ,18:15 ,,,,
2015,12,Espanyol ,2 - 0 ,Málaga ,Cornellà-El Prat ,21 de noviembre ,20:30 ,,,,
2015,12,Valencia ,1 - 1 ,Las Palmas ,Mestalla ,21 de noviembre ,22:00 ,,,,
2015,12,Deportivo de La Coruña ,2 - 0 ,Celta de Vigo ,Riazor ,21 de noviembre ,22:05 ,,,,
2015,12,Sporting de Gijón ,0 - 3 ,Levante ,El Molinón ,22 de noviembre ,12:00 ,,,,
2015,12,Villarreal ,1 - 1 ,Eibar ,El Madrigal ,22 de noviembre ,16:00 ,,,,
2015,12,Granada ,2 - 0 ,Athletic Club ,Nuevo Los Carmenes ,22 de noviembre ,18:15 ,,,,
2015,12,Betis ,0 - 1 ,Atlético de Madrid ,Benito Villamarín ,22 de noviembre ,20:30 ,,,,
2015,12,Getafe ,1 - 1 ,Rayo Vallecano ,Coliseum Alfonso Pérez ,23 de noviembre ,20:30 ,,,,
2015,13,Levante ,0 - 1 ,Betis ,Ciutat de València ,27 de noviembre ,20:30 ,,,,
2015,13,Barcelona ,4 - 0 ,Real Sociedad ,Camp Nou ,28 de noviembre ,16:00 ,,,,
2015,13,Atlético de Madrid ,1 - 0 ,Espanyol ,Vicente Calderón ,28 de noviembre ,18:15 ,,,,
2015,13,Málaga ,2 - 2 ,Granada ,La Rosaleda ,28 de noviembre ,20:30 ,,,,
2015,13,Las Palmas ,0 - 2 ,Deportivo de La Coruña ,Gran Canaria ,28 de noviembre ,22:00 ,,,,
2015,13,Celta de Vigo ,2 - 1 ,Sporting de Gijón ,Balaídos ,28 de noviembre ,22:05 ,,,,
2015,13,Getafe ,2 - 0 ,Villarreal ,Coliseum Alfonso Pérez ,29 de noviembre ,12:00 ,,,,
2015,13,Eibar ,0 - 2 ,Real Madrid ,Ipurúa ,29 de noviembre ,16:00 ,,,,
2015,13,Rayo Vallecano ,0 - 3 ,Athletic Club ,Campo de Fútbol de Vallecas ,29 de noviembre ,18:15 ,,,,
2015,13,Sevilla ,1 - 0 ,Valencia ,Ramón Sánchez Pizjuán ,29 de noviembre ,20:30 ,,,,
2015,14,Real Madrid ,4 - 1 ,Getafe ,Santiago Bernabéu ,5 de diciembre ,16:00 ,,,,
2015,14,Granada ,0 - 2 ,Atlético de Madrid ,Nuevo Los Carmenes ,5 de diciembre ,18:15 ,,,,
2015,14,Valencia ,1 - 1 ,Barcelona ,Mestalla ,5 de diciembre ,20:30 ,,,,
2015,14,Deportivo de La Coruña ,1 - 1 ,Sevilla ,Riazor ,5 de diciembre ,22:00 ,,,,
2015,14,Betis ,1 - 1 ,Celta de Vigo ,Benito Villamarín ,5 de diciembre ,22:05 ,,,,
2015,14,Real Sociedad ,2 - 1 ,Eibar ,Anoeta ,6 de diciembre ,12:00 ,,,,
2015,14,Villarreal ,2 - 1 ,Rayo Vallecano ,El Madrigal ,6 de diciembre ,16:00 ,,,,
2015,14,Sporting de Gijón ,3 - 1 ,Las Palmas ,El Molinón ,6 de diciembre ,18:15 ,,,,
2015,14,Athletic Club ,0 - 0 ,Málaga ,San Mamés ,6 de diciembre ,20:30 ,,,,
2015,14,Espanyol ,1 - 1 ,Levante ,Cornellà-El Prat ,7 de diciembre,20:30 ,,,,
2015,15,Getafe ,1 - 1 ,Real Sociedad ,Coliseum Alfonso Pérez ,11 de diciembre ,20:30 ,,,,
2015,15,Barcelona ,2 - 2 ,Deportivo de La Coruña ,Camp Nou ,12 de diciembre ,16:00 ,,,,
2015,15,Levante ,1 - 2 ,Granada ,Ciutat de València ,12 de diciembre ,18:15 ,,,,
2015,15,Celta de Vigo ,1 - 0 ,Espanyol ,Balaídos ,12 de diciembre ,18:15 ,,,,
2015,15,Sevilla ,2 - 0 ,Sporting de Gijón ,Ramón Sánchez Pizjuán ,12 de diciembre ,20:30 ,,,,
2015,15,Las Palmas ,1 - 0 ,Betis ,Gran Canaria ,12 de diciembre ,22:05 ,,,,
2015,15,Rayo Vallecano ,1 - 2 ,Málaga ,Campo de Fútbol de Vallecas ,13 de diciembre ,12:00 ,,,,
2015,15,Eibar ,1 - 1 ,Valencia ,Ipurúa ,13 de diciembre ,16:00 ,,,,
2015,15,Atlético de Madrid ,2 - 1 ,Athletic Club ,Vicente Calderón ,13 de diciembre ,18:15 ,,,,
2015,15,Villarreal ,1 - 0 ,Real Madrid ,El Madrigal ,13 de diciembre ,20:30 ,,,,
2015,16,Valencia ,2 - 2 ,Getafe ,Mestalla ,19 de diciembre ,16:00 ,,David Fernández Borbalán,,
2015,16,Espanyol ,1 - 0 ,Las Palmas ,Cornellà-El Prat ,19 de diciembre ,18:15 ,,Mario Melero López ,,
2015,16,Betis ,0 - 0 ,Sevilla ,Benito Villamarín ,19 de diciembre ,20:30 ,,Carlos Clos Gómez,,
2015,16,Deportivo de La Coruña ,2 - 0 ,Eibar ,Riazor ,19 de diciembre ,22:05 ,,Xavier Estrada Fernández,,
2015,16,Real Madrid ,9 - 2 ,Rayo Vallecano ,Santiago Bernabéu ,20 de diciembre ,16:00 ,,Ignacio Iglesias Villanueva,,
2015,16,Real Sociedad ,0 - 2 ,Villarreal ,Anoeta ,20 de diciembre ,18:15 ,,Carlos del Cerro Grande,,
2015,16,Athletic Club ,2 - 0 ,Levante ,San Mamés ,20 de diciembre ,18:15 ,,Alejandro José Hernández Hernández,,
2015,16,Granada ,0 - 2 ,Celta de Vigo ,Nuevo Los Carmenes ,20 de diciembre ,18:15 ,,Juan Martínez Munuera,,
2015,16,Málaga ,1 - 0 ,Atlético de Madrid ,La Rosaleda ,20 de diciembre ,20:30 ,,Antonio Miguel Mateu Lahoz,,
2015,16,Sporting de Gijón ,1 - 3 ,Barcelona ,El Molinón ,17 de febrero ,18:30 ,,Ricardo de Burgos Bengoetxea,,
2015,17,Real Madrid ,3 - 1 ,Real Sociedad ,Santiago Bernabéu ,30 de diciembre ,16:00 ,,,,
2015,17,Levante ,0 - 1 ,Málaga ,Ciutat de València ,30 de diciembre ,16:00 ,,,,
2015,17,Sevilla ,2 - 0 ,Espanyol ,Ramón Sánchez Pizjuán ,30 de diciembre ,18:15 ,,,,
2015,17,Rayo Vallecano ,0 - 2 ,Atlético de Madrid ,Campo de Fútbol de Vallecas ,30 de diciembre ,18:15 ,,,,
2015,17,Eibar ,2 - 0 ,Sporting de Gijón ,Ipurúa ,30 de diciembre ,18:15 ,,,,
2015,17,Getafe ,0 - 0 ,Deportivo de La Coruña ,Coliseum Alfonso Pérez ,30 de diciembre ,20:30 ,,,,
2015,17,Barcelona ,4 - 0 ,Betis ,Camp Nou ,30 de diciembre ,20:30 ,,,,
2015,17,Celta de Vigo ,0 - 1 ,Athletic Club ,Balaídos ,30 de diciembre ,20:30 ,,,,
2015,17,Las Palmas ,4 - 1 ,Granada ,Gran Canaria ,30 de diciembre ,21:00 ,,,,
2015,17,Villarreal ,1 - 0 ,Valencia ,El Madrigal ,31 de diciembre ,16:00 ,,,,
2015,18,Espanyol ,0 - 0 ,Barcelona ,Cornellà-El Prat ,2 de enero ,16:00 ,,,,
2015,18,Atlético de Madrid ,1 - 0 ,Levante ,Vicente Calderón ,2 de enero ,20:30 ,,,,
2015,18,Málaga ,2 - 0 ,Celta de Vigo ,La Rosaleda ,2 de enero ,22:05 ,,,,
2015,18,Rayo Vallecano ,2 - 2 ,Real Sociedad ,Campo de Fútbol de Vallecas ,3 de enero ,12:00 ,,,,
2015,18,Granada ,2 - 1 ,Sevilla ,Nuevo Los Carmenes ,3 de enero ,16:00 ,,,,
2015,18,Betis ,0 - 4 ,Eibar ,Benito Villamarín ,3 de enero ,16:00 ,,,,
2015,18,Athletic Club ,2 - 2 ,Las Palmas ,San Mamés ,3 de enero ,18:15 ,,,,
2015,18,Deportivo de La Coruña ,1 - 2 ,Villarreal ,Riazor ,3 de enero ,18:15 ,,,,
2015,18,Valencia ,2 - 2 ,Real Madrid ,Mestalla ,3 de enero ,20:30 ,,,,
2015,18,Sporting de Gijón ,1 - 2 ,Getafe ,El Molinón ,4 de enero ,20:30 ,,,,
2015,19,Barcelona ,4 - 0 ,Granada ,Camp Nou ,9 de enero ,16:00 ,,,,
2015,19,Sevilla ,2 - 0 ,Athletic Club ,Ramón Sánchez-Pizjuán ,9 de enero ,18:15 ,,,,
2015,19,Getafe ,1 - 0 ,Betis ,Coliseum Alfonso Pérez ,9 de enero ,18:15 ,,,,
2015,19,Real Madrid ,5 - 0 ,Deportivo de La Coruña ,Santiago Bernabéu ,9 de enero ,20:30 ,,,,
2015,19,Levante ,2 - 1 ,Rayo Vallecano ,Ciutat de València ,9 de enero ,22:05 ,,,,
2015,19,Villarreal ,2 - 0 ,Sporting de Gijón ,El Madrigal ,10 de enero ,12:00 ,,,,
2015,19,Real Sociedad ,2 - 0 ,Valencia ,Anoeta ,10 de enero ,16:00 ,,,,
2015,19,Las Palmas ,1 - 1 ,Málaga ,Estadio de Gran Canaria ,10 de enero ,18:15 ,,,,
2015,19,Eibar ,2 - 1 ,Espanyol ,Ipurúa ,10 de enero ,18:15 ,,,,
2015,19,Celta de Vigo ,0 - 2 ,Atlético de Madrid ,Balaídos ,10 de enero ,20:30 ,,,,
2015,20,Sevilla ,2 - 1 ,Málaga ,Ramón Sánchez-Pizjuán ,16 de enero ,20:30 ,,,,
2015,20,Celta de Vigo ,4 - 3 ,Levante ,Balaídos ,16 de enero ,18:15 ,,,,
2015,20,Villarreal ,0 - 0 ,Betis ,El Madrigal ,16 de enero ,20:30 ,,,,
2015,20,Real Sociedad ,1 - 1 ,Deportivo de La Coruña ,Anoeta ,16 de enero ,22:05 ,,,,
2015,20,Valencia ,2 - 2 ,Rayo Vallecano ,Mestalla ,17 de enero ,12:00 ,,,,
2015,20,Real Madrid ,5 - 1 ,Sporting de Gijón ,Santiago Bernabéu ,17 de enero ,16:00 ,,,,
2015,20,Getafe ,3 - 1 ,Espanyol ,Coliseum Alfonso Pérez ,17 de enero ,18:15 ,,,,
2015,20,Las Palmas ,0 - 3 ,Atlético de Madrid ,Gran Canaria ,17 de enero ,18:15 ,,,,
2015,20,Barcelona ,6 - 0 ,Athletic Club ,Camp Nou ,17 de enero ,20:30 ,,,,
2015,20,Eibar ,5 - 1 ,Granada ,Ipurúa ,18 de enero ,20:30 ,,,,
2015,21,Sporting de Gijón ,5 - 1 ,Real Sociedad ,El Molinón ,22 de enero ,20:30 ,,,,
2015,21,Málaga ,1 - 2 ,Barcelona ,La Rosaleda ,23 de enero ,16:00 ,,,,
2015,21,Espanyol ,2 - 2 ,Villarreal ,Cornellà-El Prat ,23 de enero ,18:15 ,,,,
2015,21,Granada ,3 - 2 ,Getafe ,Nuevo Los Carmenes ,23 de enero ,20:30 ,,,,
2015,21,Rayo Vallecano ,3 - 0 ,Celta de Vigo ,Campo de Fútbol de Vallecas ,23 de enero ,22:05 ,,,,
2015,21,Athletic Club ,5 - 2 ,Eibar ,San Mamés ,24 de enero ,12:00 ,,,,
2015,21,Atlético de Madrid ,0 - 0 ,Sevilla ,Vicente Calderón ,24 de enero ,16:00 ,,,,
2015,21,Deportivo de La Coruña ,1 - 1 ,Valencia ,Riazor ,24 de enero ,18:15 ,,,,
2015,21,Betis ,1 - 1 ,Real Madrid ,Benito Villamarín ,24 de enero ,20:30 ,,,,
2015,21,Levante ,3 - 2 ,Las Palmas ,Ciutat de València ,25 de enero ,20:30 ,,,,
2015,22,Barcelona ,2 - 1 ,Atlético de Madrid ,Camp Nou ,30 de enero ,16:00 ,,,,
2015,22,Eibar ,1 - 2 ,Málaga ,Ipurúa ,30 de enero ,18:15 ,,,,
2015,22,Getafe ,0 - 1 ,Athletic Club ,Coliseum Alfonso Pérez ,30 de enero ,18:15 ,,,,
2015,22,Villarreal ,1 - 0 ,Granada ,El Madrigal ,30 de enero ,20:30 ,,,,
