Season,Round,Date,TeamHome,Result,TeamAway,Stadium,Referee,PlayersHome,RatingHome,PotentialHome,PlayersAway,RatingAway,PotentialAway
2019,9,20/10/2019,Espanyol,0-1,Villarreal,Estadio del RCD Espanyol,Del Cerro Grande,"['Diego López', 'Víctor Gómez', 'Bernardo', 'David López', 'Naldo', 'Pedrosa', 'Marc Roca', 'Darder', 'Víctor Sánchez', 'Vargas', 'Calleri', 'Asenjo', 'Rubén Peña', 'Pau Torres', 'Albiol', 'Alberto Moreno', 'Moi Gómez', 'Zambo Anguissa']",80,80,"['Iborra', 'Cazorla', 'Ekambi', 'Gerard Moreno', 'Granero', 'Ferreyra', 'Lei', 'Andrés Prieto', 'Dídac Vilà', 'Corchia', 'Calero', 'Ontiveros', 'Samu', 'Funes Mori', 'Andrés Fernández', 'Mario Gaspar', 'Bacca', 'Manu Trigueros']",0,0
2019,9,19/10/2019,Getafe,2-0,Leganés,Coliseum Alfonso Pérez,Martínez Munuera,"['David Soria', 'Jason', 'Nyom', 'Cabrera', 'Djené', 'Cucurella', 'Raúl Carnero', 'Maksimović', 'Arambarri', 'Jorge Molina', 'Mata', 'Cuéllar', 'Rosales', 'Siovas', 'Omeruo', 'Bustinza', 'Jonathan Silva', 'Eraso']",82,84,"['Recio', 'Roque Mesa', 'Carrillo', 'Sabin Merino', 'Kenedy', 'Ángel', 'Timor', 'Chichizola', 'Portillo', 'Etxeita', 'Duro', 'Óscar', 'En-Nesyri', 'Braithwaite', 'Soriano', 'Awaziem', 'Rivera', 'Kevin Rodrigues']",0,0
2019,9,18/10/2019,Granada,1-0,Osasuna,Estadio Nuevo Los Carmenes,Estrada Fernández,"['Rui Silva', 'Víctor Díaz', 'Duarte', 'Martínez', 'Neva', 'Herrera', 'Vadillo', 'Gonalons', 'Puertas', 'Carlos Fernández', 'Soldado', 'Rubén', 'Nacho Vidal', 'Aridane', 'Roncaglia', 'Oier', 'Estupiñán', 'Moncayola']",71,77,"['Brašanac', 'Roberto Torres', 'Chimy Ávila', 'Brandon', 'Machís', 'Azeez', 'Ramos', 'Aarón', 'Álex Martínez', 'Eteki', 'Köybaşı', 'Fran Mérida', 'Adrián López', 'Villar', 'Herrera', 'Raúl Navas', 'Cardona', 'Luis Perea']",0,0
2019,9,19/10/2019,Mallorca,1-0,Real Madrid,Estadio de Son Moix,Alberola Rojas,"['Manolo Reina', 'Fran Gámez', 'Sastre', 'Valjent', 'Raíllo', 'Febas', 'Dani Rodríguez', 'Baba', 'Salva Sevilla', 'Budimir', 'Lago Junior', 'Courtois', 'Odriozola', 'Sergio Ramos', 'Militão', 'Marcelo', 'Isco', 'James Rodríguez']",70,70,"['Casemiro', 'Jović', 'Benzema', 'Vinícius', 'Lumor', 'Trajkovski', 'Kubo', 'Fabricio', 'Xisco Campos', 'Pedraza', 'Abdón Prats', 'Brahim Díaz', 'Valverde', 'Rodrygo', 'Areola', 'Varane', 'Mendy', 'Mariano']",0,0
2019,9,20/10/2019,Real Sociedad,3-1,Betis,Anoeta,Soto Grado,"['Remiro', 'Zaldúa', 'Le Normand', 'Monreal', 'Ødegaard', 'Guevara', 'Mikel Merino', 'Zubeldia', 'Oyarzabal', 'Willian José', 'Portu', 'Joel', 'Barragán', 'Mandi', 'Bartra', 'Àlex Moreno', 'Canales', 'Javi García']",76,84,"['Joaquín', 'Loren', 'Fekir', 'Borja Iglesias', 'Isak', 'Barrenetxea', 'Sangalli', 'Moyá', 'Januzaj', 'Aihen Muñoz', 'Sagnan', 'Tello', 'Guardado', 'Pedraza', 'Dani Martín', 'Feddal', 'Lainez', 'Ismael']",0,0
2019,9,20/10/2019,Sevilla,1-0,Levante,Estadio Ramón Sánchez-Pizjuán,Cuadra Fernández,"['Vaclík', 'Jesús Navas', 'Diego Carlos', 'Koundé', 'Reguilón', 'Jordán', 'Banega', 'Ocampos', 'Fernando', 'Chicharito Hernández', 'Nolito', 'Aitor', 'Miramón', 'Cabaco', 'Rubén Vezo', 'Toño', 'Campaña', 'Melero']",81,82,"['Radoja', 'Morales', 'Roger', 'Hernâni', 'De Jong', 'Óliver Torres', 'Franco Vázquez', 'Bono', 'Sergi Gómez', 'Rony Lopes', 'Escudero', 'Bardhi', 'Mayoral', 'Vukčević', 'Duarte', 'Sergio León', 'Coke', 'Cárdenas']",0,0
2019,10,26/10/2019,Atlético de Madrid,2-0,Athletic Club,Estadio Metropolitano,Hernández Hernández,"['Oblak', 'Trippier', 'Hermoso', 'Felipe', 'Lodi', 'Lemar', 'Saúl', 'Koke', 'Thomas', 'Correa', 'Morata', 'Unai Simón', 'Capa', 'Iñigo Martínez', 'Núñez', 'Yuri', 'Raúl García', 'Dani García']",91,93,"['Unai López', 'Córdoba', 'Muniain', 'Williams', 'Diego Costa', 'Héctor Herrera', 'Vitolo', 'Adán', 'Arias', 'Marcos Llorente', 'Riquelme', 'Aduriz', 'Ibai Gómez', 'De Marcos', 'Herrerín', 'Yeray', 'San José', 'Larrazabal']",0,0
2019,10,18/12/2019,Barcelona,0-0,Real Madrid,Camp Nou,Hernández Hernández,"['Ter Stegen', 'Semedo', 'Lenglet', 'Piqué', 'Jordi Alba', 'De Jong', 'Sergi Roberto', 'Rakitić', 'Griezmann', 'Messi', 'Luis Suárez', 'Courtois', 'Carvajal', 'Varane', 'Sergio Ramos', 'Mendy', 'Isco', 'Valverde']",90,93,"['Casemiro', 'Kroos', 'Bale', 'Benzema', 'Vidal', 'Ansu Fati', 'Neto', 'Busquets', 'Aleñá', 'Umtiti', 'Carles Pérez', 'Modrić', 'Rodrygo', 'Areola', 'Vinícius', 'Militão', 'Nacho', 'Jović']",0,0
2019,10,27/10/2019,Celta de Vigo,0-1,Real Sociedad,Balaidos,Pizarro Gómez,"['Rubén Blanco', 'Hugo Mallo', 'Aidoo', 'Araujo', 'Olaza', 'Pape Cheikh', 'Brais Méndez', 'Lobotka', 'Denis Suárez', 'Santi Mina', 'Iago Aspas', 'Remiro', 'Zaldúa', 'Le Normand', 'Llorente', 'Monreal', 'Ødegaard', 'Mikel Merino']",76,83,"['Zubeldia', 'Oyarzabal', 'Willian José', 'Portu', 'Jorge Sáenz', 'Fran Beltrán', 'Gabriel Fernández', 'Sergio Álvarez', 'Okay', 'Bermejo', 'Carreira', 'Barrenetxea', 'Isak', 'Sangalli', 'Moyá', 'Januzaj', 'Guevara', 'Gorosabel']",0,0
2019,10,27/10/2019,Granada,1-0,Betis,Estadio Nuevo Los Carmenes,Mateu Lahoz,"['Rui Silva', 'Víctor Díaz', 'Duarte', 'Germán', 'Neva', 'Herrera', 'Azeez', 'Vadillo', 'Gonalons', 'Machís', 'Carlos Fernández', 'Joel', 'Emerson', 'Mandi', 'Feddal', 'Pedraza', 'Guardado', 'Canales']",71,77,"['Javi García', 'Loren', 'Tello', 'Fekir', 'Soldado', 'Eteki', 'Martínez', 'Aarón', 'Álex Martínez', 'Köybaşı', 'Ramos', 'Joaquín', 'Borja Iglesias', 'Àlex Moreno', 'Bartra', 'Sidnei', 'Carlos Marín', 'Ismael']",0,0
