Season,Round,TeamHome,Result,TeamAway,Stadium,Date,Time,Spectators,Referee,YellowCards,RedCards
2016,20, Las Palmas ,3 – 1 ,Valencia ,Gran Canaria ,30 de enero ,20:45 ,20427,Jaime Latre ,6,0
2016,21,Málaga ,0 – 1 ,Espanyol ,La Rosaleda ,4 de febrero ,13:00 ,21546,Ocón Arráiz ,5,0
2016,21,Barcelona ,3 – 0 ,Athletic Club ,Camp Nou ,4 de febrero ,16:15 ,83884,González González ,4,0
2016,21,Atlético de Madrid ,2 – 0 ,Leganés ,Vicente Calderón ,4 de febrero ,18:30 ,37421,Sánchez Martínez ,2,0
2016,21,Valencia ,0 – 4 ,Eibar ,Mestalla ,4 de febrero ,20:45 ,32571,Munuera Montero ,3,1
2016,21,Sevilla ,0 – 0 ,Villarreal ,Sánchez-Pizjuán ,5 de febrero ,12:00 ,33401,Undiano Mallenco ,4,0
2016,21,Sporting de Gijón ,2 – 4 ,Deportivo Alavés ,El Molinón ,5 de febrero ,16:15 ,21752,Gil Manzano ,10,0
2016,21,Real Sociedad ,3 – 2 ,Osasuna ,Anoeta ,5 de febrero ,18:30 ,21893,Jaime Latre ,4,0
2016,21,Granada ,1 – 0 , Las Palmas ,Los Cármenes ,6 de febrero ,20:45 ,14001,Del Cerro Grande ,8,0
2016,21,Deportivo de La Coruña ,1 – 1 ,Betis ,Riazor ,8 de marzo ,18:45 ,21450,Álvarez Izquierdo ,11,0
2016,21,Celta de Vigo ,1 – 4 ,Real Madrid ,Balaídos ,17 de mayo ,21:00 ,22838,Martínez Munuera ,8,0
2016,22,Espanyol ,1 – 2 ,Real Sociedad ,RCDE Stadium ,10 de febrero ,20:45 ,17650,Fernández Borbalán ,5,0
2016,22,Betis ,0 – 0 ,Valencia ,Villamarín ,11 de febrero ,13:00 ,27357,Trujillo Suárez ,7,0
2016,22,Deportivo Alavés ,0 – 6 ,Barcelona ,Mendizorroza ,11 de febrero ,16:15 ,17872,Clos Gómez ,4,0
2016,22,Athletic Club ,2 – 1 ,Deportivo de La Coruña ,San Mamés ,11 de febrero ,18:30 ,41612,Melero López ,3,0
2016,22,Osasuna ,1 – 3 ,Real Madrid ,El Sadar ,11 de febrero ,20:45 ,17802,Iglesias Villanueva ,5,0
2016,22,Villarreal ,1 – 1 ,Málaga ,La Cerámica ,12 de febrero ,12:00 ,16770,Vicandi Garrido ,5,1
2016,22,Leganés ,0 – 2 ,Sporting de Gijón ,Butarque ,12 de febrero ,16:15 ,8232,Estrada Fernández ,9,1
2016,22, Las Palmas ,0 – 1 ,Sevilla ,Gran Canaria ,12 de febrero ,18:30 ,27724,De Burgos Bengoetxea ,6,0
2016,22,Atlético de Madrid ,3 – 2 ,Celta de Vigo ,Vicente Calderón ,12 de febrero ,20:45 ,31059,Hernández Hernández ,3,0
2016,22,Eibar ,4 – 0 ,Granada ,Ipurúa ,13 de febrero ,20:45 ,4855,Mateu Lahoz ,4,0
2016,23,Granada ,4 – 1 ,Betis ,Los Cármenes ,17 de febrero ,20:45 ,16208,Ocón Arráiz ,5,2
2016,23,Sporting de Gijón ,1 – 4 ,Atlético de Madrid ,El Molinón ,18 de febrero ,13:00 ,24013,González González ,2,0
2016,23,Real Madrid ,2 – 0 ,Espanyol ,Santiago Bernabéu ,18 de febrero ,16:15 ,72234,Undiano Mallenco ,7,0
2016,23,Deportivo de La Coruña ,0 – 1 ,Deportivo Alavés ,Riazor ,18 de febrero ,18:30 ,19753,Jaime Latre ,8,0
2016,23,Sevilla ,2 – 0 ,Eibar ,Ramón Sánchez-Pizjuán ,18 de febrero ,20:45 ,33895,Álvarez Izquierdo ,5,0
2016,23,Real Sociedad ,0 – 1 ,Villarreal ,Anoeta ,19 de febrero ,12:00 ,21649,Hernández Hernández ,6,0
2016,23,Valencia ,2 – 0 ,Athletic Club ,Mestalla ,19 de febrero ,16:15 ,36396,Fernández Borbalán ,1,0
2016,23,Celta de Vigo ,3 – 0 ,Osasuna ,Balaídos ,19 de febrero ,18:30 ,15391,Vicandi Garrido ,1,0
2016,23,Barcelona ,2 – 1 ,Leganés ,Camp Nou ,19 de febrero ,20:45 ,63378,Iglesias Villanueva ,4,0
2016,23,Málaga ,2 – 1 , Las Palmas ,La Rosaleda ,20 de febrero ,20:45 ,20787,Sánchez Martínez ,9,0
2016,24, Las Palmas ,0 – 1 ,Real Sociedad ,Gran Canaria ,24 de febrero ,20:45 ,19085,Martínez Munuera ,4,0
2016,24,Deportivo Alavés ,2 – 1 ,Valencia ,Mendizorroza ,25 de febrero ,13:00 ,19118,Melero López ,8,0
2016,24,Betis ,1 – 2 ,Sevilla ,Villamarín ,25 de febrero ,16:15 ,41263,Del Cerro Grande ,6,0
2016,24,Leganés ,4 – 0 ,Deportivo de La Coruña ,Butarque ,25 de febrero ,18:30 ,10076,Munuera Montero ,7,1
2016,24,Eibar ,3 – 0 ,Málaga ,Ipurúa ,25 de febrero ,20:45 ,4953,Estrada Fernández ,8,0
2016,24,Espanyol ,3 – 0 ,Osasuna ,RCDE Stadium ,26 de febrero ,12:00 ,18766,Clos Gómez ,5,1
2016,24,Atlético de Madrid ,1 – 2 ,Barcelona ,Vicente Calderón ,26 de febrero ,16:15 ,52440,Mateu Lahoz ,6,0
2016,24,Athletic Club ,3 – 1 ,Granada ,San Mamés ,26 de febrero ,18:30 ,37563,Trujillo Suárez ,6,0
2016,24,Sporting de Gijón ,1 – 1 ,Celta de Vigo ,El Molinón ,26 de febrero ,18:30 ,23797,De Burgos Bengoetxea ,6,1
2016,24,Villarreal ,2 – 3 ,Real Madrid ,La Cerámica ,26 de febrero ,20:45 ,20878,Gil Manzano ,6,0
2016,25,Real Sociedad ,2 – 2 ,Eibar ,Anoeta ,28 de febrero ,19:30 ,20335,Undiano Mallenco ,11,0
2016,25,Valencia ,1 – 0 ,Leganés ,Mestalla ,28 de febrero ,21:30 ,26711,Vicandi Garrido ,7,0
2016,25,Málaga ,1 – 2 ,Betis ,La Rosaleda ,28 de febrero ,21:30 ,24285,Hernández Hernández ,8,0
2016,25,Barcelona ,6 – 1 ,Sporting de Gijón ,Camp Nou ,1 de marzo ,19:30 ,56605,Sánchez Martínez ,4,0
2016,25,Osasuna ,1 – 4 ,Villarreal ,El Sadar ,1 de marzo ,19:30 ,13409,González González ,6,0
2016,25,Granada ,2 – 1 ,Deportivo Alavés ,Los Cármenes ,1 de marzo ,21:30 ,14038,Iglesias Villanueva ,13,1
2016,25,Real Madrid ,3 – 3 , Las Palmas ,Bernabéu ,1 de marzo ,21:30 ,63789,Fernández Borbalán ,7,1
2016,25,Celta de Vigo ,2 – 2 ,Espanyol ,Balaídos ,1 de marzo ,21:30 ,11526,Jaime Latre ,6,0
2016,25,Deportivo de La Coruña ,1 – 1 ,Atlético de Madrid ,Riazor ,2 de marzo ,20:45 ,20138,Clos Gómez ,4,0
2016,25,Sevilla ,1 – 0 ,Athletic Club ,Sánchez-Pizjuán ,2 de marzo ,21:30 ,34156,Ocón Arráiz ,8,0
2016,26,Betis ,2 – 3 ,Real Sociedad ,Villamarín ,3 de marzo ,20:45 ,24043,Iglesias Villanueva ,6,0
2016,26,Leganés ,1 – 0 ,Granada ,Butarque ,4 de marzo ,13:00 ,8911,Martínez Munuera ,5,0
2016,26,Eibar ,1 – 4 ,Real Madrid ,Ipurúa ,4 de marzo ,16:15 ,6694,González González ,2,0
2016,26,Villarreal ,2 – 0 ,Espanyol ,La Cerámica ,4 de marzo ,18:30 ,16835,De Burgos Bengoetxea ,4,0
2016,26,Barcelona ,5 – 0 ,Celta de Vigo ,Camp Nou ,4 de marzo ,20:45 ,75282,Gil Manzano ,4,0
2016,26,Sporting de Gijón ,0 – 1 ,Deportivo de La Coruña ,El Molinón ,5 de marzo ,12:00 ,23586,Mateu Lahoz ,9,0
2016,26,Atlético de Madrid ,3 – 0 ,Valencia ,Vicente Calderón ,5 de marzo ,16:15 ,46439,Estrada Fernández ,3,0
2016,26, Las Palmas ,5 – 2 ,Osasuna ,Gran Canaria ,5 de marzo ,18:30 ,19866,Del Cerro Grande ,8,0
2016,26,Athletic Club ,1 – 0 ,Málaga ,San Mamés ,5 de marzo ,20:45 ,33625,Álvarez Izquierdo ,8,0
2016,26,Deportivo Alavés ,1 – 1 ,Sevilla ,Mendizorroza ,6 de marzo ,20:45 ,14448,Trujillo Suárez ,7,0
2016,27,Espanyol ,4 – 3 , Las Palmas ,RCDE Stadium ,10 de marzo ,20:45 ,17669,Munuera Montero ,6,0
2016,27,Valencia ,1 – 1 ,Sporting de Gijón ,Mestalla ,11 de marzo ,13:00 ,28785,Álvarez Izquierdo ,8,0
2016,27,Sevilla ,1 – 1 ,Leganés ,Sánchez-Pizjuán ,11 de marzo ,16:15 ,31738,González González ,5,0
2016,27,Málaga ,1 – 2 ,Deportivo Alavés ,La Rosaleda ,11 de marzo ,18:30 ,23716,Undiano Mallenco ,5,0
2016,27,Granada ,0 – 1 ,Atlético de Madrid ,Los Cármenes ,11 de marzo ,20:45 ,18887,Hernández Hernández ,8,0
2016,27,Real Sociedad ,0 – 2 ,Athletic Club ,Anoeta ,12 de marzo ,12:00 ,25652,Sánchez Martínez ,9,0
2016,27,Deportivo de La Coruña ,2 – 1 ,Barcelona ,Riazor ,12 de marzo ,16:15 ,28412,Fernández Borbalán ,2,0
2016,27,Celta de Vigo ,0 – 1 ,Villarreal ,Balaídos ,12 de marzo ,18:30 ,16651,Melero López ,9,0
2016,27,Real Madrid ,2 – 1 ,Betis ,Bernabéu ,12 de marzo ,20:45 ,73103,Mateu Lahoz ,3,0
2016,27,Osasuna ,1 – 1 ,Eibar ,El Sadar ,13 de marzo ,20:45 ,11332,Jaime Latre ,8,0
2016,28, Las Palmas ,1 – 0 ,Villarreal ,Gran Canaria ,17 de marzo ,20:45 ,18717,Vicandi Garrido ,5,1
2016,28,Eibar ,1 – 1 ,Espanyol ,Ipurúa ,18 de marzo ,13:00 ,5340,Fernández Borbalán ,6,0
2016,28,Athletic Club ,1 – 2 ,Real Madrid ,San Mamés ,18 de marzo ,16:15 ,49095,Jaime Latre ,5,0
2016,28,Deportivo Alavés ,1 – 0 ,Real Sociedad ,Mendizorroza ,18 de marzo ,18:30 ,19840,Del Cerro Grande ,8,0
2016,28,Betis ,2 – 0 ,Osasuna ,Villamarín ,18 de marzo ,20:45 ,32375,Álvarez Izquierdo ,3,0
2016,28,Leganés ,0 – 0 ,Málaga ,Butarque ,19 de marzo ,12:00 ,10127,Mateu Lahoz ,6,0
2016,28,Atlético de Madrid ,3 – 1 ,Sevilla ,Vicente Calderón ,19 de marzo ,16:15 ,49831,Gil Manzano ,7,0
2016,28,Sporting de Gijón ,3 – 1 ,Granada ,El Molinón ,19 de marzo ,18:30 ,24129,Estrada Fernández ,6,0
2016,28,Deportivo de La Coruña ,0 – 1 ,Celta de Vigo ,Riazor ,19 de marzo ,18:30 ,30810,Martínez Munuera ,8,0
2016,28,Barcelona ,4 – 2 ,Valencia ,Camp Nou ,19 de marzo ,20:45 ,77058,Hernández Hernández ,7,1
2016,29,Espanyol ,2 – 1 ,Betis ,RCDE Stadium ,31 de marzo ,20:45 ,21138,González González ,5,0
2016,29,Villarreal ,2 – 3 ,Eibar ,La Cerámica ,1 de abril ,13:00 ,15832,Ocón Arráiz ,7,0
2016,29,Osasuna ,1 – 2 ,Athletic Club ,El Sadar ,1 de abril ,16:15 ,15694,Munuera Montero ,6,0
2016,29,Real Sociedad ,1 – 1 ,Leganés ,Anoeta ,1 de abril ,18:30 ,18891,Melero López ,5,0
2016,29,Málaga ,0 – 2 ,Atlético de Madrid ,La Rosaleda ,1 de abril ,20:45 ,26912,Trujillo Suárez ,4,0
2016,29,Sevilla ,0 – 0 ,Sporting de Gijón ,Sánchez-Pizjuán ,2 de abril ,12:00 ,31315,Vicandi Garrido ,7,0
2016,29,Real Madrid ,3 – 0 ,Deportivo Alavés ,Bernabéu ,2 de abril ,16:15 ,76875,Sánchez Martínez ,2,0
2016,29,Valencia ,3 – 0 ,Deportivo de La Coruña ,Mestalla ,2 de abril ,18:30 ,34638,De Burgos Bengoetxea ,4,0
2016,29,Granada ,1 – 4 ,Barcelona ,Los Cármenes ,2 de abril ,20:45 ,18676,Jaime Latre ,6,0
2016,29,Celta de Vigo ,3 – 1 , Las Palmas ,Balaídos ,3 de abril ,20:45 ,14212,Clos Gómez ,6,0
2016,30,Athletic Club ,2 – 0 ,Espanyol ,San Mamés ,4 de abril ,19:30 ,38262,Martínez Munuera ,4,0
2016,30,Betis ,0 – 1 ,Villarreal ,Villamarín ,4 de abril ,21:30 ,25477,Gil Manzano ,4,0
2016,30,Atlético de Madrid ,1 – 0 ,Real Sociedad ,Vicente Calderón ,4 de abril ,21:30 ,43132,Undiano Mallenco ,4,0
2016,30,Barcelona ,3 – 0 ,Sevilla ,Camp Nou ,5 de abril ,19:30 ,83980,Clos Gómez ,6,0
2016,30,Deportivo Alavés ,0 – 1 ,Osasuna ,Mendizorroza ,5 de abril ,20:30 ,14034,Estrada Fernández ,6,0
2016,30,Sporting de Gijón ,0 – 1 ,Málaga ,El Molinón ,5 de abril ,20:30 ,23729,Sánchez Martínez ,7,0
2016,30,Deportivo de La Coruña ,0 – 0 ,Granada ,Riazor ,5 de abril ,20:30 ,19303,Del Cerro Grande ,5,0
2016,30,Leganés ,2 – 4 ,Real Madrid ,Butarque ,5 de abril ,21:30 ,10599,Álvarez Izquierdo ,3,0
2016,30,Eibar ,3 – 1 , Las Palmas ,Ipurúa ,6 de abril ,19:30 ,5204,Iglesias Villanueva ,7,0
2016,30,Valencia ,3 – 2 ,Celta de Vigo ,Mestalla ,6 de abril ,21:30 ,29307,Fernández Borbalán ,2,0
2016,31,Villarreal ,3 – 1 ,Athletic Club ,La Cerámica ,7 de abril ,20:45 ,18403,Trujillo Suárez ,9,1
2016,31,Espanyol ,1 – 0 ,Deportivo Alavés ,RCDE Stadium ,8 de abril ,13:00 ,17521,Melero López ,6,0
2016,31,Real Madrid ,1 – 1 ,Atlético de Madrid ,Bernabéu ,8 de abril ,16:15 ,77344,De Burgos Bengoetxea ,5,0
2016,31,Sevilla ,4 – 2 ,Deportivo de La Coruña ,Sánchez-Pizjuán ,8 de abril ,18:30 ,33022,Jaime Latre ,6,0
2016,31,Málaga ,2 – 0 ,Barcelona ,La Rosaleda ,8 de abril ,20:45 ,28314,Gil Manzano ,9,0
2016,31,Granada ,1 – 3 ,Valencia ,Los Cármenes ,9 de abril ,12:00 ,15087,Vicandi Garrido ,4,0
2016,31,Celta de Vigo ,0 – 2 ,Eibar ,Balaídos ,9 de abril ,16:15 ,15741,Munuera Montero ,4,0
2016,31,Osasuna ,2 – 1 ,Leganés ,El Sadar ,9 de abril ,18:30 ,14421,Ocón Arráiz ,7,0
2016,31, Las Palmas ,4 – 1 ,Betis ,Gran Canaria ,9 de abril ,20:45 ,19678,Sánchez Martínez ,7,0
2016,31,Real Sociedad ,3 – 1 ,Sporting de Gijón ,Anoeta ,10 de abril ,20:45 ,18894,González González ,6,0
2016,32,Athletic Club ,5 – 1 , Las Palmas ,San Mamés ,14 de abril ,20:45 ,36293,Estrada Fernández ,3,0
2016,32,Deportivo de La Coruña ,2 – 0 ,Málaga ,Riazor ,15 de abril ,13:00 ,20300,Undiano Mallenco ,7,0
2016,32,Sporting de Gijón ,2 – 3 ,Real Madrid ,El Molinón ,15 de abril ,16:15 ,23745,Fernández Borbalán ,6,0
2016,32,Atlético de Madrid ,3 – 0 ,Osasuna ,Vicente Calderón ,15 de abril ,18:30 ,44113,Melero López ,6,0
2016,32,Barcelona ,3 – 2 ,Real Sociedad ,Camp Nou ,15 de abril ,20:45 ,81704,Martínez Munuera ,5,0
2016,32,Leganés ,0 – 1 ,Espanyol ,Butarque ,16 de abril ,12:00 ,9127,Clos Gómez ,2,0
2016,32,Valencia ,0 – 0 ,Sevilla ,Mestalla ,16 de abril ,16:15 ,36809,González González ,5,0
2016,32,Betis ,2 – 0 ,Eibar ,Villamarín ,16 de abril ,18:30 ,28881,Mateu Lahoz ,8,0
2016,32,Granada ,0 – 3 ,Celta de Vigo ,Los Cármenes ,16 de abril ,20:45 ,13506,Sánchez Martínez ,7,0
2016,32,Deportivo Alavés ,2 – 1 ,Villarreal ,Mendizorroza ,17 de abril ,20:45 ,12628,Álvarez Izquierdo ,6,0
2016,33,Sevilla ,2 – 0 ,Granada ,Sánchez-Pizjuán ,21 de abril ,21:00 ,31074,Trujillo Suárez ,3,0
2016,33,Málaga ,2 – 0 ,Valencia ,La Rosaleda ,22 de abril ,13:00 ,23089,Iglesias Villanueva ,6,0
2016,33,Villarreal ,2 – 1 ,Leganés ,La Cerámica ,22 de abril ,16:15 ,16829,Jaime Latre ,4,0
2016,33,Osasuna ,2 – 2 ,Sporting de Gijón ,El Sadar ,22 de abril ,18:30 ,14964,Gil Manzano ,7,0
2016,33,Espanyol ,0 – 1 ,Atlético de Madrid ,RCDE Stadium ,22 de abril ,20:45 ,27777,Vicandi Garrido ,5,0
2016,33,Real Sociedad ,1 – 0 ,Deportivo de La Coruña ,Anoeta ,23 de abril ,12:00 ,19925,Ocón Arráiz ,4,0
2016,33,Celta de Vigo ,0 – 1 ,Betis ,Balaídos ,23 de abril ,16:15 ,15851,De Burgos Bengoetxea ,8,0
2016,33, Las Palmas ,1 – 1 ,Deportivo Alavés ,Gran Canaria ,23 de abril ,18:30 ,16007,Munuera Montero ,5,1
2016,33,Real Madrid ,2 – 3 ,Barcelona ,Bernabéu ,23 de abril ,20:45 ,81044,Hernández Hernández ,5,1
2016,33,Eibar ,0 – 1 ,Athletic Club ,Ipurúa ,24 de abril ,20:45 ,6597,Del Cerro Grande ,6,1
2016,34,Sporting de Gijón ,1 – 1 ,Espanyol ,El Molinón ,25 de abril ,19:30 ,20956,Melero López ,3,0
2016,34,Granada ,0 – 2 ,Málaga ,Los Cármenes ,25 de abril ,20:30 ,11894,Clos Gómez ,5,0
2016,34,Atlético de Madrid ,0 – 1 ,Villarreal ,Vicente Calderón ,25 de abril ,21:30 ,44432,Iglesias Villanueva ,8,0
2016,34,Barcelona ,7 – 1 ,Osasuna   ,Camp Nou ,26 de abril ,19:30 ,63989,Munuera Montero ,0,0
2016,34,Leganés ,3 – 0 , Las Palmas ,Butarque ,26 de abril ,20:30 ,9756,Vicandi Garrido ,1,0
2016,34,Valencia ,2 – 3 ,Real Sociedad ,Mestalla ,26 de abril ,20:30 ,26101,Del Cerro Grande ,7,0
2016,34,Deportivo de La Coruña ,2 – 6 ,Real Madrid ,Riazor ,26 de abril ,21:30 ,26735,Sánchez Martínez ,4,0
2016,34,Deportivo Alavés ,0 – 0 ,Eibar ,Mendizorroza ,27 de abril ,19:30 ,18277,Trujillo Suárez ,6,1
2016,34,Sevilla ,2 – 1 ,Celta de Vigo ,Sánchez-Pizjuán ,27 de abril ,20:30 ,25995,Gil Manzano ,5,0
2016,34,Athletic Club ,2 – 1 ,Betis ,San Mamés ,27 de abril ,21:30 ,34074,González González ,4,0
2016,35,Villarreal ,3 – 1 ,Sporting de Gijón ,La Cerámica ,28 de abril ,20:45 ,15120,Estrada Fernández ,3,0
2016,35,Real Sociedad ,2 – 1 ,Granada   ,Anoeta ,29 de abril ,13:00 ,18003,Mateu Lahoz ,3,0
2016,35,Real Madrid   ,2 – 1 ,Valencia ,Bernabéu ,29 de abril ,16:15 ,75180,Gil Manzano ,7,0
2016,35, Las Palmas ,0 – 5 ,Atlético de Madrid ,Gran Canaria ,29 de abril ,18:30 ,23570,De Burgos Bengoetxea ,8,0
2016,35,Espanyol ,0 – 3 ,Barcelona   ,RCDE Stadium ,29 de abril ,20:45 ,31708,Undiano Mallenco ,3,0
2016,35,Osasuna ,2 – 2 ,Deportivo de La Coruña ,El Sadar ,30 de abril ,12:00 ,12294,Hernández Hernández ,5,0
2016,35,Betis ,1 – 4 ,Deportivo Alavés ,Villamarín ,30 de abril ,16:15 ,22271,Ocón Arráiz ,6,0
2016,35,Eibar ,2 – 0 ,Leganés ,Ipurúa ,30 de abril ,18:30 ,5256,Álvarez Izquierdo ,3,0
2016,35,Celta de Vigo ,0 – 3 ,Athletic Club ,Balaídos ,30 de abril ,20:45 ,17320,Fernández Borbalán ,2,0
2016,35,Málaga ,4 – 2 ,Sevilla ,La Rosaleda ,1 de mayo ,21:00 ,22971,Martínez Munuera ,8,0
2016,36,Sevilla ,1 – 1 ,Real Sociedad ,Sánchez-Pizjuán ,5 de mayo ,21:00 ,28607,González González ,9,0
2016,36,Sporting de Gijón ,1 – 0 , Las Palmas ,El Molinón ,6 de mayo ,13:00 ,21758,Jaime Latre ,7,0
2016,36,Atlético de Madrid ,1 – 0 ,Eibar ,Vicente Calderón ,6 de mayo ,16:15 ,46748,Fernández Borbalán ,8,0
2016,36,Barcelona ,4 – 1 ,Villarreal ,Camp Nou ,6 de mayo ,18:30 ,90463,Sánchez Martínez ,6,0
2016,36,Granada ,0 – 4 ,Real Madrid ,Los Cármenes ,6 de mayo ,20:45 ,19094,Iglesias Villanueva ,1,0
2016,36,Deportivo Alavés ,1 – 0 ,Athletic Club ,Mendizorroza ,7 de mayo ,12:00 ,19127,Martínez Munuera ,5,0
2016,36,Valencia ,4 – 1 ,Osasuna ,Mestalla ,7 de mayo ,16:15 ,24752,Clos Gómez ,5,0
2016,36,Deportivo de La Coruña ,1 – 2 ,Espanyol ,Riazor ,7 de mayo ,18:30 ,22803,Mateu Lahoz ,3,0
2016,36,Málaga ,3 – 0 ,Celta de Vigo ,La Rosaleda ,7 de mayo ,20:45 ,20552,Del Cerro Grande ,6,0
2016,36,Leganés ,4 – 0 ,Betis ,Butarque ,8 de mayo ,20:45 ,9443,Trujillo Suárez ,3,0
2016,37,Espanyol ,0 – 1 ,Valencia ,RCDE Stadium ,13 de mayo ,16:00 ,20111,Ocón Arráiz ,4,0
2016,37,Osasuna ,2 – 1 ,Granada ,El Sadar ,13 de mayo ,18:30 ,13301,Vicandi Garrido ,4,0
2016,37,Deportivo Alavés ,3 – 1 ,Celta de Vigo ,Mendizorroza ,14 de mayo ,16:00 ,17624,Munuera Montero ,4,0
2016,37,Real Sociedad ,2 – 2 ,Málaga ,Anoeta ,14 de mayo ,20:00 ,25026,Jaime Latre ,3,0
2016,37,Real Madrid ,4 – 1 ,Sevilla   ,Bernabéu ,14 de mayo ,20:00 ,79356,Undiano Mallenco ,6,0
2016,37,Villarreal ,0 – 0 ,Deportivo de La Coruña ,La Cerámica ,14 de mayo ,20:00 ,16437,Gil Manzano ,6,0
2016,37, Las Palmas ,1 – 4 ,Barcelona ,Gran Canaria ,14 de mayo ,20:00 ,22268,González González ,1,0
2016,37,Eibar ,0 – 1 ,Sporting de Gijón   ,Ipurúa ,14 de mayo ,20:00 ,5577,Martínez Munuera ,4,0
2016,37,Betis ,1 – 1 ,Atlético de Madrid   ,Villamarín ,14 de mayo ,20:00 ,27159,Álvarez Izquierdo ,8,0
2016,37,Athletic Club ,1 – 1 ,Leganés ,San Mamés ,14 de mayo ,20:00 ,42049,Fernández Borbalán ,10,0
2016,38,Granada ,1 – 2 ,Espanyol ,Los Cármenes ,19 de mayo ,20:45 ,10503,Clos Gómez ,3,0
2016,38,Sporting de Gijón ,2 – 2 ,Betis ,El Molinón ,20 de mayo ,17:00 ,16201,Iglesias Villanueva ,2,0
2016,38,Deportivo de La Coruña ,3 – 0 , Las Palmas ,Riazor ,20 de mayo ,19:00 ,21764,Melero López ,8,0
2016,38,Leganés ,1 – 1 ,Deportivo Alavés ,Butarque ,20 de mayo ,19:00 ,10922,González González ,1,0
2016,38,Sevilla ,5 – 0 ,Osasuna ,Sánchez-Pizjuán ,20 de mayo ,21:00 ,26396,Del Cerro Grande ,4,0
2016,38,Celta de Vigo ,2 – 2 ,Real Sociedad ,Balaídos ,21 de mayo ,16:45 ,14188,Sánchez Martínez ,3,0
2016,38,Valencia ,1 – 3 ,  Villarreal ,Mestalla ,21 de mayo ,16:45 ,33587,Fernández Borbalán ,4,0
2016,38,Atlético de Madrid ,3 – 1 ,Athletic Club ,Vicente Calderón ,21 de mayo ,16:45 ,52314,Estrada Fernández ,2,0
2016,38,Málaga ,0 – 2 ,Real Madrid  ,La Rosaleda ,21 de mayo ,20:00 ,27855,De Burgos Bengoetxea ,2,0
2016,38,Barcelona ,4 – 2 ,Eibar ,Camp Nou ,21 de mayo ,20:00 ,74932,Hernández Hernández ,5,0
2017,1,Leganés ,1 – 0 ,Deportivo Alavés ,Butarque ,18 de agosto ,20:15 ,9.231,Munuera Montero ,1,0
2017,1,Valencia ,1 – 0 , Las Palmas ,Mestalla ,18 de agosto ,22:15 ,36.019,Gil Manzano ,6,1
2017,1,Celta de Vigo ,2 – 3 ,Real Sociedad ,Balaídos ,19 de agosto ,18:15 ,16.207,Mateu Lahoz ,4,0
2017,1,Girona ,2 – 2 ,Atlético de Madrid ,Montilivi ,19 de agosto ,20:15 ,11.342,Martínez Munuera ,6,1
2017,1,Sevilla ,1 – 1 ,Espanyol ,Sánchez Pizjuán ,19 de agosto ,22:15 ,30.506,Hernández Hernández ,6,1
2017,1,Athletic Club ,0 – 0 ,Getafe ,San Mamés ,20 de agosto ,18:15 ,38.11,Melero López ,4,1
2017,1,Barcelona ,2 – 0 ,Betis ,Camp Nou ,20 de agosto ,20:15 ,54.56,Trujillo Suárez ,3,0
2017,1,Deportivo de La Coruña ,0 – 3 ,Real Madrid ,Abanca Riazor ,20 de agosto ,22:15 ,27.801,González González ,6,1
2017,1,Levante  ,1 – 0 ,Villarreal ,Ciudad de València ,21 de agosto ,20:15 ,12.942,Álvarez Izquierdo ,4,0
2017,1,Málaga ,0 – 1 ,Eibar ,La Rosaleda ,21 de agosto ,22:00 ,24.838,Medié Jiménez ,5,0
2017,2,Real Sociedad ,3 – 0 ,Villarreal ,Anoeta ,25 de agosto ,20:15 ,19.792,Estrada Fernández ,4,0
2017,2,Betis ,2 – 1 ,Celta de Vigo ,Villamarín ,25 de agosto ,22:00 ,43.801,De Burgos Bengoetxea ,4,0
2017,2,Deportivo Alavés ,0 – 2 ,Barcelona ,Mendizorroza ,26 de agosto ,18:15 ,14.932,Del Cerro Grande ,5,0
2017,2,Girona ,1 – 0 ,Málaga ,Montilivi ,26 de agosto ,20:15 ,9.748,Jaime Latre ,7,0
2017,2,Levante  ,2 – 2 ,Deportivo de La Coruña ,Ciudad de València ,26 de agosto ,20:15 ,16.345,Alberola Rojas ,4,0
2017,2, Las Palmas ,1 – 5 ,Atlético de Madrid ,Gran Canaria ,26 de agosto ,22:15 ,20.31,Iglesias Villanueva ,5,0
2017,2,Eibar ,0 – 1 ,Athletic Club ,Ipurúa ,27 de agosto ,18:15 ,5.948,Sánchez Martínez ,4,0
2017,2,Espanyol ,0 – 1 ,Leganés ,RCDE Stadium ,27 de agosto ,18:15 ,17.895,González Fuertes ,6,0
2017,2,Getafe ,0 – 1 ,Sevilla ,Alfonso Pérez ,27 de agosto ,20:15 ,9.427,Undiano Mallenco ,1,0
2017,2,Real Madrid ,2 – 2 ,Valencia ,Bernabéu ,27 de agosto ,22:15 ,61.739,Fernández Borbalán ,8,0
2017,3,Leganés ,1 – 2 ,Getafe ,Butarque ,8 de septiembre ,21:00 ,11.454,Álvarez Izquierdo ,3,0
2017,3,Real Madrid ,1 – 1 ,Levante  ,Bernabéu ,9 de septiembre ,13:00 ,67.789,Hernández Hernández ,5,1
2017,3,Valencia ,0 – 0 ,Atlético de Madrid ,Mestalla ,9 de septiembre ,16:15 ,43.859,González González ,1,0
2017,3,Sevilla ,3 – 0 ,Eibar ,Sánchez Pizjuán ,9 de septiembre ,18:30 ,32.469,Mateu Lahoz ,2,0
