Season,Round,TeamHome,Result,TeamAway,Stadium,Date,Time,Spectators,Referee,YellowCards,RedCards
2016,5,Barcelona ,1 – 1 ,Atlético de Madrid ,Camp Nou ,21 de septiembre ,22:00 ,89421,Fernández Borbalán ,6,0
2016,5,Deportivo de La Coruña ,1 – 2 ,Leganés ,Riazor ,22 de septiembre ,20:00 ,18466,Undiano Mallenco ,3,0
2016,5,Osasuna ,1 – 2 ,Espanyol ,El Sadar ,22 de septiembre ,20:00 ,14631,Vicandi Garrido ,3,0
2016,5,Valencia ,2 – 1 ,Deportivo Alavés ,Mestalla ,22 de septiembre ,22:00 ,32285,Jaime Latre ,6,0
2016,6,Betis ,1 – 0 ,Málaga ,Villamarín ,23 de septiembre ,20:45 ,37038,Álvarez Izquierdo ,10,0
2016,6,Eibar ,2 – 0 ,Real Sociedad ,Ipurúa ,24 de septiembre ,13:00 ,4798,Sánchez Martínez ,6,1
2016,6,Sporting de Gijón ,0 – 5 ,Barcelona ,El Molinón ,24 de septiembre ,16:15 ,26098,Del Cerro Grande ,3,0
2016,6,Athletic Club ,3 – 1 ,Sevilla ,San Mamés ,24 de septiembre ,18:30 ,42415,Hernández Hernández ,4,1
2016,6, Las Palmas ,2 – 2 ,Real Madrid ,Gran Canaria ,24 de septiembre ,20:45 ,22520,Estrada Fernández ,5,0
2016,6,Leganés ,1 – 2 ,Valencia ,Butarque ,25 de septiembre ,12:00 ,10622,Fernández Borbalán ,8,0
2016,6,Atlético de Madrid ,1 – 0 ,Deportivo de La Coruña ,Vicente Calderón ,25 de septiembre ,16:15 ,45653,Gil Manzano ,5,0
2016,6,Villarreal ,3 – 1 ,Osasuna ,El Madrigal ,25 de septiembre ,18:30 ,18319,Ocón Arráiz ,2,0
2016,6,Espanyol ,0 – 2 ,Celta de Vigo ,RCDE Stadium ,25 de septiembre ,20:45 ,17484,Undiano Mallenco ,5,0
2016,6,Deportivo Alavés ,3 – 1 ,Granada ,Mendizorroza ,26 de septiembre ,20:45 ,16371,González González ,6,0
2016,7,Real Sociedad ,1 – 0 ,Betis ,Anoeta ,30 de septiembre ,20:45 ,18310,Trujillo Suárez ,5,0
2016,7,Granada ,0 – 1 ,Leganés ,Los Cármenes ,1 de octubre ,13:00 ,15050,Jaime Latre ,1,0
