Season,Round,Date,TeamHome,Result,TeamAway,Stadium,Referee
2015,17,30/12/2015,Celta de Vigo,0-1,Athletic Club,Balaidos,Pérez Montero
2015,17,30/12/2015,Getafe,0-0,Deportivo de La Coruña,Coliseum Alfonso Pérez,Undiano Mallenco
2015,17,30/12/2015,Las Palmas,4-1,Granada,Estadio de Gran Canaria,Jaime Latre
2015,17,31/12/2015,Villarreal,1-0,Valencia,El Madrigal,Álvarez Izquierdo
2015,18,02/01/2016,Espanyol,0-0,Barcelona,Power8 Stadium,González González
2015,18,02/01/2016,Atlético de Madrid,1-0,Levante,Vicente Calderón,Clos Gómez
2015,18,02/01/2016,Málaga,2-0,Celta de Vigo,La Rosaleda,Bikandi Garrido
2015,18,03/01/2016,Rayo Vallecano,2-2,Real Sociedad,Estadio de Vallecas,Mateu Lahoz
2015,18,03/01/2016,Betis,0-4,Eibar,Benito Villamarín,Prieto Iglesias
2015,18,03/01/2016,Granada,2-1,Sevilla,Estadio Nuevo Los Carmenes,Undiano Mallenco
2015,18,03/01/2016,Deportivo de La Coruña,1-2,Villarreal,Estadio Municipal de Riazor,Fernández Borbalán
2015,18,03/01/2016,Athletic Club,2-2,Las Palmas,San Mamés,Del Cerro Grande
2015,18,03/01/2016,Valencia,2-2,Real Madrid,Camp de Mestalla,Sánchez Martínez
2015,18,04/01/2016,Sporting de Gijón,1-2,Getafe,El Molinón,Estrada Fernández
2015,19,09/01/2016,Barcelona,4-0,Granada,Camp Nou,Velasco Carballo
2015,19,09/01/2016,Getafe,1-0,Betis,Coliseum Alfonso Pérez,Álvarez Izquierdo
2015,19,09/01/2016,Sevilla,2-0,Athletic Club,Estadio Ramón Sánchez-Pizjuán,Prieto Iglesias
2015,19,09/01/2016,Real Madrid,5-0,Deportivo de La Coruña,Estadio Santiago Bernabeu,Pérez Montero
2015,19,09/01/2016,Levante,2-1,Rayo Vallecano,Ciutat de Valencia,Melero López
2015,19,10/01/2016,Villarreal,2-0,Sporting de Gijón,El Madrigal,Gil Manzano
2015,19,10/01/2016,Real Sociedad,2-0,Valencia,Anoeta,Hernández Hernández
2015,19,10/01/2016,Eibar,2-1,Espanyol,Estadio Municipal de Ipurua,Jaime Latre
2015,19,10/01/2016,Las Palmas,1-1,Málaga,Estadio de Gran Canaria,Iglesias Villanueva
2015,19,10/01/2016,Celta de Vigo,0-2,Atlético de Madrid,Balaidos,De Burgos Bengoetxea
2015,20,16/01/2016,Sevilla,2-1,Málaga,Estadio Ramón Sánchez-Pizjuán,Estrada Fernández
2015,20,16/01/2016,Celta de Vigo,4-3,Levante,Balaidos,Del Cerro Grande
2015,20,16/01/2016,Villarreal,0-0,Betis,El Madrigal,González González
2015,20,16/01/2016,Real Sociedad,1-1,Deportivo de La Coruña,Anoeta,Martínez Munuera
2015,20,17/01/2016,Valencia,2-2,Rayo Vallecano,Camp de Mestalla,Prieto Iglesias
2015,20,17/01/2016,Real Madrid,5-1,Sporting de Gijón,Estadio Santiago Bernabeu,Undiano Mallenco
2015,20,17/01/2016,Getafe,3-1,Espanyol,Coliseum Alfonso Pérez,Clos Gómez
2015,20,17/01/2016,Las Palmas,0-3,Atlético de Madrid,Estadio de Gran Canaria,Bikandi Garrido
2015,20,17/01/2016,Barcelona,6-0,Athletic Club,Camp Nou,Mateu Lahoz
