Season,Round,Date,Time,TeamHome,Result,TeamAway,Referee,Stadium,PlayersHome,RatingHome,PotentialHome,PlayersAway,RatingAway,PotentialAway,TeamHomeRecentPointsHome,TeamAwayRecentPointsAway,TeamHomeRecentPoints,TeamHomeRecentTiedMatches,TeamHomeRecentGoalsScored,TeamAwayRecentPoints,TeamAwayRecentTiedMatches,TeamAwayRecentGoalsScored,TeamHomeRecentPointsh2h,TeamHomeCurrentTotalPoints,TeamAwayCurrentTotalPoints
2019,30,19/06/2020,19:30,Mallorca,1-1,Leganés,,,"[['Hernandez', 'Budimir', 'Dani Rodriguez', 'Salva Sevilla', 'Iddrisu Baba', 'Kubo', 'Joan Sastre', 'Sedlar', 'Martin Valjent', 'Alex Pozo', 'Reina']]","[[75, 76, 73, 75, 72, 72, 71, 72, 74, 70, 71]]","[[82, 76, 73, 75, 81, 87, 78, 74, 80, 81, 71]]","[['Guerrero', 'Oscar Rodriguez', 'Kevin Rodrigues', 'Ruben Perez', 'Amadou', 'Aitor Ruibal', 'Jonathan Silva', 'Awaziem', 'Omeruo', 'Bustinza', 'Cuellar']]","[[73, 73, 74, 75, 76, 68, 74, 74, 75, 76, 77]]","[[73, 84, 77, 75, 79, 75, 79, 81, 80, 78, 77]]",6.0,4.0,4.0,1.0,5.0,4.0,1.0,4.0,0.0,25.0,23.0
2019,30,21/06/2020,22:00,Real Sociedad,1-2,Real Madrid,,,"[['Oyarzabal', 'Isak', 'Odegaard', 'Zubeldia', 'Mikel Merino', 'Januzaj', 'Monreal', 'Aritz Elustondo', 'Le Normand', 'Gorosabel', 'Alex Remiro']]","[[83, 78, 82, 77, 80, 80, 79, 77, 75, 70, 77]]","[[89, 86, 88, 83, 86, 83, 79, 81, 82, 76, 83]]","[['Eden Hazard', 'Benzema', 'Kroos', 'Casemiro', 'Valverde', 'Modric', 'Marcelo', 'Sergio Ramos', 'Varane', 'Carvajal', 'Courtois']]","[[91, 88, 89, 88, 82, 89, 84, 89, 86, 85, 88]]","[[91, 88, 89, 89, 90, 89, 84, 89, 89, 85, 89]]",13.0,9.0,7.0,1.0,5.0,9.0,0.0,9.0,3.0,47.0,62.0
2019,30,19/06/2020,22:00,Sevilla,0-0,Barcelona,,,"[['Munir El Haddadi', 'Luuk de Jong', 'Ocampos', 'Joan Jordan', 'Fernando Reges', 'Oliver Torres', 'Reguilon', 'Diego Carlos', 'Kounde', 'Jesus Navas', 'Vaclik']]","[[79, 81, 80, 79, 82, 78, 80, 80, 78, 82, 81]]","[[84, 81, 83, 84, 82, 83, 87, 83, 86, 82, 81]]","[['Braithwaite', 'Griezmann', 'Messi', 'Arthur', 'Sergio Busquets', 'Arturo Vidal', 'Jordi Alba', 'Lenglet', 'Pique', 'Nelson Semedo', 'Ter Stegen']]","[[76, 89, 94, 85, 88, 84, 86, 86, 88, 82, 90]]","[[76, 89, 94, 90, 88, 84, 86, 90, 88, 85, 93]]",11.0,7.0,11.0,2.0,11.0,12.0,0.0,12.0,0.0,51.0,64.0
2019,30,21/06/2020,19:30,Valencia,2-0,Osasuna,,,"[['Gomez', 'Rodrigo', 'Guedes', 'Parejo', 'Kondogbia', 'Ferran Torres', 'Jaume Costa', 'Guillamon', 'Gabriel Paulista', 'Florenzi', 'Cillessen']]","[[81, 83, 82, 87, 81, 79, 78, 63, 83, 81, 82]]","[[87, 83, 88, 87, 82, 88, 78, 78, 84, 81, 82]]","[['Adrian Lopez', 'Ruben Garcia', 'Oier', 'Brasanac', 'Roberto Torres', 'Estupinan', 'Unai Garcia', 'Aridane Hernandez', 'David Garcia', 'Nacho Vidal', 'Ruben Martinez']]","[[77, 76, 73, 75, 74, 75, 71, 74, 73, 72, 73]]","[[77, 77, 73, 75, 74, 82, 73, 74, 77, 77, 73]]",11.0,5.0,5.0,2.0,4.0,4.0,1.0,4.0,3.0,43.0,35.0
2019,31,23/06/2020,22:00,Barcelona,1-0,Athletic Club,,,"[['Griezmann', 'Luis Suarez', 'Messi', 'Arthur', 'Sergio Busquets', 'Arturo Vidal', 'Jordi Alba', 'Lenglet', 'Pique', 'Nelson Semedo', 'Ter Stegen']]","[[89, 89, 94, 85, 88, 84, 86, 86, 88, 82, 90]]","[[89, 89, 94, 90, 88, 84, 86, 90, 88, 85, 93]]","[['Raul Garcia', 'Williams', 'Muniain', 'Dani Garcia', 'Mikel Vesga', 'Balenziaga', 'Inigo Martinez', 'Yeray Alvarez', 'Unai Nunez', 'Capa', 'Unai Simon']]","[[80, 82, 83, 80, 74, 74, 81, 80, 78, 79, 79]]","[[80, 85, 83, 80, 77, 74, 82, 84, 84, 79, 85]]",15.0,5.0,10.0,1.0,7.0,11.0,2.0,9.0,1.0,65.0,42.0
2019,31,24/06/2020,19:30,Alavés,0-1,Osasuna,,,"[['Lucas Perez', 'Joselu', 'Luis Rioja', 'Camarasa', 'Tomas Pina', 'Aleix Vidal', 'Ruben Duarte', 'Rodrigo Ely', 'Laguardia', 'Ximo Navarro', 'Roberto Jimenez']]","[[78, 75, 73, 76, 77, 76, 76, 75, 79, 75, 75]]","[[78, 75, 74, 80, 77, 76, 81, 79, 79, 75, 75]]","[['Adrian Lopez', 'Enric Gallego', 'Ruben Garcia', 'Oier', 'Brasanac', 'Roberto Torres', 'Estupinan', 'Raul Navas', 'David Garcia', 'Nacho Vidal', 'Ruben Martinez']]","[[77, 73, 76, 73, 75, 74, 75, 75, 73, 72, 73]]","[[77, 73, 77, 73, 75, 74, 82, 75, 77, 77, 73]]",10.0,4.0,5.0,2.0,4.0,4.0,1.0,4.0,0.0,35.0,35.0
2019,31,25/06/2020,19:30,Eibar,1-0,Valencia,,,"[['Charles', 'Kike Garcia', 'Orellana', 'Sergio Alvarez Diaz', 'Gonzalo Escalante', 'Pedro Leon', 'Cote', 'Paulo Oliveira', 'Bigas', 'Rober Correa', 'Dmitrovic']]","[[78, 79, 79, 75, 77, 80, 78, 77, 73, 69, 80]]","[[78, 79, 79, 76, 80, 80, 78, 78, 74, 70, 81]]","[['Gomez', 'Rodrigo', 'Guedes', 'Parejo', 'Kondogbia', 'Ferran Torres', 'Gaya', 'Guillamon', 'Gabriel Paulista', 'Daniel Wass', 'Cillessen']]","[[81, 83, 82, 87, 81, 79, 81, 63, 83, 80, 82]]","[[87, 83, 88, 87, 82, 88, 86, 78, 84, 80, 82]]",5.0,1.0,5.0,2.0,8.0,8.0,2.0,6.0,3.0,29.0,46.0
2019,31,22/06/2020,22:00,Leganés,0-0,Granada,,,"[['Assale', 'Guerrero', 'Roque Mesa', 'Amadou', 'Oscar Rodriguez', 'Jonathan Silva', 'Awaziem', 'Omeruo', 'Rosales', 'Bustinza', 'Cuellar']]","[[75, 73, 79, 76, 73, 74, 74, 75, 76, 76, 77]]","[[78, 73, 79, 79, 84, 79, 81, 80, 76, 78, 77]]","[['Carlos Fernandez', 'Darwin Machis', 'Azeez', 'Yangel Herrera', 'Puertas', 'Carlos Neva', 'German Sanchez', 'Jesus Vallejo', 'Domingos Duarte', 'Foulquier', 'Rui Silva']]","[[75, 76, 74, 72, 75, 73, 77, 76, 75, 74, 78]]","[[82, 76, 77, 81, 75, 78, 77, 82, 79, 74, 83]]",5.0,5.0,5.0,2.0,5.0,6.0,3.0,5.0,3.0,24.0,42.0
2019,31,23/06/2020,19:30,Levante,0-1,Atlético de Madrid,,,"[['Roger', 'Borja Mayoral', 'Bardhi', 'Radoja', 'Vukcevic', 'Rochina', 'Tono Garcia', 'Bruno Gonzalez', 'Sergio Postigo', 'Coke', 'Aitor Fernandez']]","[[78, 77, 78, 76, 75, 77, 75, 77, 75, 75, 80]]","[[78, 83, 83, 77, 76, 77, 75, 77, 75, 75, 82]]","[['Joao Felix', 'Diego Costa', 'Koke', 'Saul Niguez', 'Thomas', 'Thomas', 'Marcos Llorente', 'Renan Lodi', 'Mario Hermoso', 'Savic', 'Arias', 'Oblak']]","[[80, 82, 86, 85, 84, 82, 81, 79, 81, 83, 79, 91]]","[[93, 82, 86, 89, 87, 86, 86, 86, 87, 84, 79, 93]]",8.0,6.0,6.0,3.0,6.0,9.0,3.0,10.0,1.0,38.0,52.0
2019,31,25/06/2020,22:00,Betis,1-0,Espanyol,,,"[['Borja Iglesias', 'Lorenzo Moron', 'Diego Lainez', 'Guido Rodriguez', 'Canales', 'Fekir', 'Alfonso Pedraza', 'Marc Bartra', 'Aissa Mandi', 'Emerson', 'Joel Robles']]","[[81, 81, 72, 77, 84, 85, 76, 83, 80, 75, 78]]","[[82, 84, 83, 79, 84, 87, 81, 84, 81, 85, 79]]","[['Calleri', 'Wu Lei', 'Embarba', 'Marc Roca', 'Melendo', 'Sergi Darder', 'Didac Vila', 'Calero', 'David Lopez', 'Javier Lopez', 'Diego Lopez']]","[[77, 79, 76, 78, 80, 80, 75, 78, 78, 75, 79]]","[[80, 79, 76, 85, 86, 83, 75, 83, 78, 75, 79]]",8.0,2.0,4.0,1.0,5.0,5.0,2.0,4.0,2.0,34.0,24.0
